ID,Taxon,Rank
1125360,Impatiens_kilimanjari_x_Impatiens_pseudoviola,species
2487893,Impatiens_balfourii_x_Impatiens_parviflora,species
342005,Impatiens_usambarensis_x_Impatiens_walleriana,species
1676623,Sarracenia_psittacina_x_Sarracenia_purpurea,species
659589,Arctostaphylos_manzanita_x_Arctostaphylos_stanfordiana,species
1610496,Rhododendron_kiusianum_x_Rhododendron_indicum,species
409320,Rhododendron_decorum_x_Rhododendron_delavayi,species
880877,Rhododendron_cyanocarpum_x_Rhododendron_delavayi,species
436877,Rhododendron_nakaharae_x_Rhododendron_indicum,species
2302846,Vaccinium_corymbosum_x_Vaccinium_angustifolium,species
934696,Vaccinium_angustifolium_x_Vaccinium_corymbosum,species
2078687,Vaccinium_corymbosum_x_Vaccinium_myrsinites,species
2078688,Vaccinium_myrsinites_x_Vaccinium_corymbosum,species
2302845,Vaccinium_corymbosum_x_Vaccinium_darrowii,species
1286240,Actinidia_rufa_x_Actinidia_chinensis,species
1286236,Actinidia_eriantha_x_Actinidia_chinensis,species
1286234,Actinidia_chinensis_x_Actinidia_arguta,species
1286238,Actinidia_fulvicoma_x_Actinidia_deliciosa,species
1286233,Actinidia_chinensis_x_Actinidia_eriantha,species
1286239,Actinidia_macrosperma_x_Actinidia_melanandra,species
1286235,Actinidia_deliciosa_x_Actinidia_arguta,species
1286237,Actinidia_fulvicoma_x_Actinidia_chinensis,species
155547,Stewartia_pseudocamellia_x_Stewartia_ovata_var._grandiflora,species
1916282,Camellia_azalea_x_Camellia_amplexicaulis,species
1172115,Ipomoea_batatas_x_Ipomoea_hederacea,species
485355,Ipomoea_coccinea_x_Ipomoea_quamoclit,species
1972074,Calystegia_hederacea_x_Calystegia_pubescens,species
207879,Cestrum_aurantiacum_x_Cestrum_parqui,species
1171611,Duboisia_leichhardtii_x_Duboisia_myoporoides,species
696922,Nicotiana_rustica_x_Nicotiana_plumbaginifolia,species
157071,Nicotiana_suaveolens_x_Nicotiana_tabacum,species
79230,Nicotiana_glauca_x_Nicotiana_langsdorffii,species
164110,Nicotiana_langsdorffii_x_Nicotiana_sanderae,species
32200,Nicotiana_tabacum_x_Nicotiana_bigelovii,species
936530,Capsicum_chinense_x_Capsicum_frutescens,species
713679,Capsicum_annuum_x_Capsicum_chinense,species
2023330,Capsicum_baccatum_var._baccatum_x_Capsicum_annuum_var._annuum,species
2023331,Capsicum_annuum_var._annuum_x_Capsicum_baccatum_var._baccatum,species
2023334,Capsicum_baccatum_var._baccatum_x_Capsicum_chinense,species
2023333,Capsicum_annuum_var._annuum_x_Capsicum_chinense,species
2023332,Capsicum_chinense_x_Capsicum_baccatum_var._baccatum,species
1050721,Capsicum_annuum_x_Capsicum_frutescens,species
2506110,Jaltomata_sinuosa_x_Jaltomata_umbellata,species
1928708,Solanum_spegazzinii_x_Solanum_gourlayi,species
1546022,Solanum_kurtzianum_x_Solanum_microdontum,species
162493,Solanum_arnezii_x_Solanum_hondelmannii,species
681985,Solanum_schenckii_x_Solanum_brachycarpum,species
681986,Solanum_capsicibaccatum_x_Solanum_circaeifolium,species
1128164,Solanum_leptophyes_x_Solanum_sparsipilum,species
588599,Solanum_arcanum_x_Solanum_peruvianum,species
286530,Solanum_lycopersicum_x_Solanum_pimpinellifolium,species
95449,Solanum_lycopersicum_x_Solanum_peruvianum,species
298315,Solanum_lycopersicum_x_Solanum_tuberosum,species
872925,Solanum_lycopersicum_x_Solanum_pennellii,species
357543,Solanum_lycopersicum_x_Solanum_habrochaites,species
588597,Solanum_huaylasense_x_Solanum_peruvianum,species
1202430,Solanum_acaule_x_Solanum_commersonii,species
378788,Solanum_sparsipilum_x_Solanum_tuberosum,species
2490912,Solanum_stoloniferum_x_Solanum_tuberosum,species
176296,Solanum_berthaultii_x_Solanum_tuberosum,species
746542,Solanum_incanum_x_Solanum_melongena,species
2654275,Solanum_melongena_x_Solanum_linnaeanum,species
1017323,Solanum_chacoense_x_Solanum_tuberosum,species
1872692,Solanum_asymmetriphyllum_x_Solanum_sejunctum,species
245159,Solanum_commersonii_x_Solanum_tuberosum,species
188760,Solanum_phureja_x_Solanum_tuberosum,species
176295,Solanum_phureja_x_Solanum_stenotomum,species
1928653,Withania_somnifera_x_Withania_sp._'ashwagandha',species
1830227,Acnistus_arborescens_x_Iochroma_cyaneum,species
2570376,Petunia_exserta_x_Petunia_axillaris_subsp._parodii,species
56025,Petunia_x_hybrida_x_Petunia_axillaris_subsp._parodii,species
2315833,Petunia_axillaris_x_Petunia_integrifolia_subsp._inflata,species
2570377,Petunia_axillaris_x_Petunia_axillaris_subsp._parodii,species
2290741,Petunia_axillaris_x_Petunia_secreta,species
1765064,Petunia_axillaris_x_Petunia_x_hybrida,species
361459,Petunia_axillaris_x_Petunia_exserta,species
659877,Asclepias_albicans_x_Asclepias_subulata,species
1549868,Asclepias_speciosa_x_Asclepias_syriaca,species
2597732,Hoya_wayetii_x_Hoya_tsangii,species
2597722,Hoya_celata_x_Hoya_pubicalyx,species
2042953,Mandevilla_pentlandiana_x_Mandevilla_laxa,species
2599593,Centaurium_erythraea_x_Centaurium_littorale_subsp._compressum,species
321348,Centaurium_erythraea_x_Centaurium_littorale,species
242215,Gentianella_amarella_x_Gentianella_bohemica,species
553008,(Gentiana_lawrencei_x_Gentiana_veitchiorum)_x_Gentiana_sp.,species
553039,Gentiana_hexaphylla_x_Gentiana_lawrencei,species
553040,Gentiana_scabra_x_Gentiana_triflora,species
553041,Gentiana_sino-ornata_x_Gentiana_veitchiorum,species
384645,Gentiana_straminea_x_Gentiana_siphonantha,species
2495895,Galium_prattii_x_Galium_blinii,species
2495896,Galium_bungei_x_Galium_yunnanense,species
43502,Hoffmannia_refulgens_x_Hoffmannia_ghiesbreghtii,species
1306199,Mussaenda_pubescens_var._alba_x_Mussaenda_shikokiana,species
1306198,Mussaenda_shikokiana_x_Mussaenda_pubescens_var._alba,species
232092,Coffea_arabica_x_Coffea_canephora,species
413830,Coffea_arabica_x_Coffea_liberica,species
213309,Coffea_congensis_x_Coffea_canephora,species
1165098,(Coffea_congensis_x_Coffea_canephora)_x_Coffea_canephora,species
1565470,Coffea_canephora_x_Coffea_eugenioides,species
1565469,Coffea_eugenioides_x_Coffea_canephora,species
84786,Luculia_gratissima_x_Luculia_tsetensis,species
2594531,Sinningia_muscicola_x_Sinningia_bullata,species
2594530,Sinningia_concinna_x_Sinningia_sellovii,species
2594532,Sinningia_leucotricha_x_Sinningia_iarae,species
2594533,Sinningia_bullata_x_Sinningia_conspicua,species
2594539,Paliavana_sp._x_Sinningia_gerdtiana,species
2594489,Sinningia_conspicua_x_Paliavana_tenuiflora,species
2204158,Primulina_depressa_x_Primulina_danxiaensis,species
