id,accepted_plant_name_id,match_type
85622,379392-wcs,strict match
93696,379433-wcs,strict match
3359,379395-wcs,strict match
93694,379402-wcs,strict match
1093624,379385-wcs,strict match
1093623,469764-wcs,strict match
126280,379389-wcs,strict match
224733,379383-wcs,strict match
126281,379409-wcs,strict match
445235,379425-wcs,strict match
1986463,531808-wcs,strict match
49226,379109-wcs,strict match
62751,379148-wcs,strict match
71403,379116-wcs,strict match
193047,379132-wcs,strict match
54800,379135-wcs,strict match
189812,379148-wcs,strict match
167559,385977-wcs,strict match
123599,381519-wcs,strict match
167561,386000-wcs,strict match
188928,385983-wcs,strict match
167560,385982-wcs,strict match
193048,469492-wcs,strict match
193046,379078-wcs,strict match
193045,379091-wcs,strict match
154026,379087-wcs,strict match
154025,379071-wcs,strict match
154027,379073-wcs,strict match
193049,469503-wcs,strict match
193051,469503-wcs,strict match
501394,469492-wcs,strict match
3327,379096-wcs,strict match
71405,379089-wcs,strict match
501393,469492-wcs,strict match
3326,379072-wcs,strict match
3324,377744-wcs,strict match
404568,469485-wcs,strict match
418983,377762-wcs,strict match
123598,377762-wcs,strict match
1478231,377762-wcs,strict match
675088,377769-wcs,strict match
1478229,377769-wcs,strict match
1478230,469485-wcs,strict match
1093621,377769-wcs,strict match
1093622,469485-wcs,strict match
71406,378313-wcs,strict match
762205,379636-wcs,strict match
71407,379635-wcs,strict match
675087,379638-wcs,strict match
71408,469726-wcs,strict match
25593,379650-wcs,strict match
3357,379633-wcs,strict match
2304534,381195-wcs,strict match
278161,469725-wcs,strict match
762206,469726-wcs,strict match
308686,380409-wcs,strict match
1043705,386055-wcs,strict match
1229089,469552-wcs,strict match
162307,380762-wcs,strict match
93926,380582-wcs,strict match
130206,380645-wcs,strict match
308680,380570-wcs,strict match
162305,380610-wcs,strict match
487034,380551-wcs,strict match
3333,380751-wcs,strict match
224734,385958-wcs,strict match
369397,380584-wcs,strict match
130229,380716-wcs,strict match
308687,380759-wcs,strict match
3330,381078-wcs,strict match
123602,380737-wcs,strict match
162306,380431-wcs,strict match
1935394,380418-wcs,strict match
